id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts300399,Five Came Back: The Reference Films,SHOW,1945-01-01,51,['documentation'],['US'],0.0,0.0,0.601,0.0
tm82169,Rocky,MOVIE,1976-01-01,119,"['drama', 'sport']",['US'],8.1,588100.0,106.361,7.782
tm17823,Grease,MOVIE,1978-01-01,110,"['romance', 'comedy']",['US'],7.2,283316.0,33.16,7.406
tm191099,The Sting,MOVIE,1973-01-01,129,"['crime', 'drama', 'comedy', 'music']",['US'],8.3,266738.0,24.616,8.02
tm69975,Rocky II,MOVIE,1979-01-01,119,"['drama', 'sport']",['US'],7.3,216307.0,75.699,7.246
tm127384,Monty Python and the Holy Grail,MOVIE,1975-01-01,91,"['fantasy', 'comedy']",['GB'],8.2,547292.0,20.964,7.804
tm17249,Animal House,MOVIE,1978-01-01,109,['comedy'],['US'],7.4,123611.0,17.372,7.02
ts22164,Monty Python's Flying Circus,SHOW,1969-01-01,30,"['comedy', 'european']",['GB'],8.8,75654.0,24.773,8.258
tm70993,Life of Brian,MOVIE,1979-01-01,94,['comedy'],['GB'],8.0,405022.0,19.787,7.762
tm16479,White Christmas,MOVIE,1954-01-01,120,"['comedy', 'music', 'romance']",['US'],7.5,46586.0,11.598,7.2
tm91699,Heroes,MOVIE,1977-01-01,112,"['drama', 'comedy', 'romance']",['US'],6.0,1883.0,7.869,6.5
tm12775,Play Misty for Me,MOVIE,1971-01-01,102,"['drama', 'thriller']",['US'],6.9,29706.0,10.964,6.612
tm135083,Cairo Station,MOVIE,1958-01-01,77,"['drama', 'comedy', 'crime']",['EG'],7.5,4878.0,7.372,7.4
tm69997,Richard Pryor: Live in Concert,MOVIE,1979-01-01,78,"['comedy', 'documentation']",['US'],8.1,5141.0,7.266,7.432
tm16812,Bandie,MOVIE,1978-01-01,141,"['drama', 'romance', 'action']",['IN'],4.8,37.0,1.862,6.0
tm75975,Prince,MOVIE,1969-01-01,152,['romance'],['IN'],6.8,199.0,2.45,7.0
tm156453,FTA,MOVIE,1972-01-01,97,"['comedy', 'documentation', 'music']",['US'],6.4,433.0,2.062,6.1
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972-01-01,43,['comedy'],['GB'],8.1,2199.0,1.475,7.0
tm89386,Hitler: A Career,MOVIE,1977-01-01,150,"['documentation', 'history', 'european']",['DE'],7.5,2718.0,7.155,7.4
tm71909,Amrapali,MOVIE,1966-01-01,120,['fantasy'],['IN'],6.7,251.0,2.805,6.3
